2026/07/19 09:24:17 Measurement 'Measurement20260719T092358' (1784445838835017903) started at 2026-07-19T09:23:58+02:00.
2026/07/19 09:27:59 Logging started
2026/07/19 09:27:59 SetupEnvironment finished.
2026/07/19 09:28:04 Autocreating new measurement!
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:07 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:28:08 Added Measurement to database
2026/07/19 09:30:00 Logging started
2026/07/19 09:30:00 SetupEnvironment finished.
2026/07/19 09:30:08 Autocreating new measurement!
2026/07/19 09:30:08 Measurement 'Measurement20260719T093008' (1784446208814781073) started at 2026-07-19T09:30:08+02:00.
2026/07/19 09:32:51 Logging started
2026/07/19 09:32:51 SetupEnvironment finished.
2026/07/19 09:32:51 Fel: Database file missing: /home/prifre/dev/go/src/vas2/resources/vasdatabase.db
2026/07/19 09:32:51 #2 SetupDatabase database file not found, creating new db: /home/prifre/dev/go/src/vas2/resources/vasdatabase.db
2026/07/19 09:33:10 Opening /home/prifre/vasdata
2026/07/19 09:34:34 Logging started
2026/07/19 09:34:34 SetupEnvironment finished.
2026/07/19 09:34:38 Opening /home/prifre/dev/go/src/vas2/resources
2026/07/19 09:37:22 Logging started
2026/07/19 09:37:22 SetupEnvironment finished.
2026/07/19 09:39:08 Logging started
2026/07/19 09:39:08 SetupEnvironment finished.
2026/07/19 09:44:50 Logging started
2026/07/19 09:44:50 SetupEnvironment finished.
2026/07/19 09:51:31 #2 len(d1)=0
2026/07/19 09:51:37 Opening /home/prifre/dev/go/src/vas2/resources
2026/07/19 09:59:32 Logging started
2026/07/19 09:59:32 SetupEnvironment finished.
2026/07/19 09:59:36 Autocreating new measurement!
2026/07/19 10:00:14 Measurement 'Measurement20260719T095936' (1784447976339761212) started at 2026-07-19T09:59:36+02:00.
2026/07/19 10:02:07 Measurement 'Measurement20260719T095936' (1784447976339761212) started at 2026-07-19T09:59:36+02:00.
2026/07/19 10:02:22 Measurement 'Measurement20260719T095936' (1784447976339761212) started at 2026-07-19T09:59:36+02:00.
2026/07/19 10:03:19 Logging started
2026/07/19 10:03:19 SetupEnvironment finished.
2026/07/19 10:24:45 Logging started
2026/07/19 10:24:45 SetupEnvironment finished.
2026/07/19 10:24:48 Autocreating new measurement!
2026/07/19 10:24:48 Measurement 'Measurement20260719T102448' (1784449488922565189) started at 2026-07-19T10:24:48+02:00.
2026/07/19 10:29:31 Logging started
2026/07/19 10:29:31 SetupEnvironment finished.
2026/07/19 10:30:22 Logging started
2026/07/19 10:30:22 SetupEnvironment finished.
2026/07/19 10:33:07 Logging started
2026/07/19 10:33:07 SetupEnvironment finished.
2026/07/19 10:34:44 Logging started
2026/07/19 10:34:44 SetupEnvironment finished.
2026/07/19 10:36:50 Logging started
2026/07/19 10:36:50 SetupEnvironment finished.
2026/07/19 10:38:43 Logging started
2026/07/19 10:38:43 SetupEnvironment finished.
2026/07/19 10:39:53 Logging started
2026/07/19 10:39:53 SetupEnvironment finished.
2026/07/19 10:45:07 Logging started
2026/07/19 10:45:07 SetupEnvironment finished.
2026/07/19 10:46:46 Logging started
2026/07/19 10:46:46 SetupEnvironment finished.
2026/07/19 10:48:59 Logging started
2026/07/19 10:48:59 SetupEnvironment finished.
2026/07/19 10:49:44 Logging started
2026/07/19 10:49:44 SetupEnvironment finished.
2026/07/19 10:50:09 Logging started
2026/07/19 10:50:09 SetupEnvironment finished.
2026/07/19 11:06:21 Logging started
2026/07/19 11:06:21 SetupEnvironment finished.
2026/07/19 11:06:30 Autocreating new measurement!
2026/07/19 11:06:30 Measurement 'Measurement20260719T110630' (1784451990429838683) started at 2026-07-19T11:06:30+02:00.
2026/07/19 11:09:56 Logging started
2026/07/19 11:09:56 SetupEnvironment finished.
2026/07/19 11:11:09 Logging started
2026/07/19 11:11:09 SetupEnvironment finished.
2026/07/19 11:11:33 Logging started
2026/07/19 11:11:33 SetupEnvironment finished.
2026/07/19 11:14:06 Logging started
2026/07/19 11:14:06 SetupEnvironment finished.
2026/07/19 11:14:22 Autocreating new measurement!
2026/07/19 11:14:22 Measurement 'Measurement20260719T111422' (1784452462829758591) started at 2026-07-19T11:14:22+02:00.
2026/07/19 11:15:34 Logging started
2026/07/19 11:15:34 SetupEnvironment finished.
2026/07/19 11:16:35 Logging started
2026/07/19 11:16:35 SetupEnvironment finished.
2026/07/19 11:17:03 Logging started
2026/07/19 11:17:03 SetupEnvironment finished.
2026/07/19 11:17:06 Autocreating new measurement!
2026/07/19 11:17:06 Measurement 'Measurement20260719T111706' (1784452626362199193) started at 2026-07-19T11:17:06+02:00.
2026/07/19 11:17:14 Measurement 'Measurement20260719T111706' (1784452626362199193) started at 2026-07-19T11:17:06+02:00.
2026/07/19 11:17:22 Measurement 'Measurement20260719T111706' (1784452626362199193) started at 2026-07-19T11:17:06+02:00.
2026/07/19 11:17:47 Logging started
2026/07/19 11:17:47 SetupEnvironment finished.
2026/07/19 11:17:52 Searching for TSI network instruments DustTrak & AeroTrak
2026/07/19 11:17:52 Searching for TSI serial instrument PTrak
2026/07/19 11:31:59 Logging started
2026/07/19 11:31:59 SetupEnvironment finished.
2026/07/19 11:33:47 Logging started
2026/07/19 11:33:47 SetupEnvironment finished.
2026/07/19 11:37:53 Logging started
2026/07/19 11:37:53 SetupEnvironment finished.
2026/07/19 11:40:07 Logging started
2026/07/19 11:40:07 SetupEnvironment finished.
2026/07/19 11:40:43 Logging started
2026/07/19 11:40:43 SetupEnvironment finished.
2026/07/19 11:43:45 Logging started
2026/07/19 11:43:45 SetupEnvironment finished.
2026/07/19 11:45:57 Logging started
2026/07/19 11:45:57 SetupEnvironment finished.
2026/07/19 11:46:38 Logging started
2026/07/19 11:46:38 SetupEnvironment finished.
2026/07/19 11:47:35 Logging started
2026/07/19 11:47:35 SetupEnvironment finished.
2026/07/19 11:47:52 Exported to Excel: /home/prifre/dev/go/src/vas2/resources/vas.xlsx
2026/07/19 11:48:30 Opening /home/prifre/dev/go/src/vas2/resources
2026/07/19 11:49:37 Searching for TSI network instruments DustTrak & AeroTrak
2026/07/19 11:49:37 Searching for TSI serial instrument PTrak
2026/07/19 11:51:09 Logging started
2026/07/19 11:51:09 SetupEnvironment finished.
2026/07/19 11:52:41 Logging started
2026/07/19 11:52:41 SetupEnvironment finished.
2026/07/19 11:53:56 Autocreating new measurement!
2026/07/19 11:53:56 Measurement 'Measurement20260719T115356' (1784454836553789622) started at 2026-07-19T11:53:56+02:00.
2026/07/19 11:54:58 Logging started
2026/07/19 11:54:58 SetupEnvironment finished.
2026/07/19 11:55:50 Logging started
2026/07/19 11:55:50 SetupEnvironment finished.
2026/07/19 11:55:58 Autocreating new measurement!
2026/07/19 11:55:58 Measurement 'Measurement20260719T115558' (1784454958820174609) started at 2026-07-19T11:55:58+02:00.
2026/07/19 11:56:04 Measurement 'Measurement20260719T115558' (1784454958820174609) started at 2026-07-19T11:55:58+02:00.
2026/07/19 11:56:16 Measurement 'Measurement20260719T115558' (1784454958820174609) started at 2026-07-19T11:55:58+02:00.
2026/07/19 12:02:31 Logging started
2026/07/19 12:02:31 SetupEnvironment finished.
2026/07/19 12:02:36 Autocreating new measurement!
2026/07/19 12:02:36 Measurement 'Measurement20260719T120236' (1784455356843479996) started at 2026-07-19T12:02:36+02:00.
2026/07/19 12:02:41 Measurement 'Measurement20260719T120236' (1784455356843479996) started at 2026-07-19T12:02:36+02:00.
2026/07/19 12:02:44 Measurement 'Measurement20260719T120236' (1784455356843479996) started at 2026-07-19T12:02:36+02:00.
2026/07/19 12:02:48 Measurement 'Measurement20260719T120236' (1784455356843479996) started at 2026-07-19T12:02:36+02:00.
2026/07/19 12:02:52 Measurement 'Measurement20260719T120236' (1784455356843479996) started at 2026-07-19T12:02:36+02:00.
2026/07/19 12:02:58 Measurement 'Measurement20260719T120236' (1784455356843479996) started at 2026-07-19T12:02:36+02:00.
2026/07/19 12:04:27 Logging started
2026/07/19 12:04:27 SetupEnvironment finished.
2026/07/19 12:04:49 Logging started
2026/07/19 12:04:49 SetupEnvironment finished.
2026/07/19 12:05:42 Logging started
2026/07/19 12:05:42 SetupEnvironment finished.
2026/07/19 12:05:45 Autocreating new measurement!
2026/07/19 12:05:45 Measurement 'Measurement20260719T120545' (1784455545573014023) started at 2026-07-19T12:05:45+02:00.
2026/07/19 12:06:00 Measurement 'Measurement20260719T120545' (1784455545573014023) started at 2026-07-19T12:05:45+02:00.
2026/07/19 12:06:28 Measurement 'Measurement20260719T120545' (1784455545573014023) started at 2026-07-19T12:05:45+02:00.
2026/07/19 12:07:10 Measurement 'Measurement20260719T120545' (1784455545573014023) started at 2026-07-19T12:05:45+02:00.
2026/07/19 12:07:15 Measurement 'Measurement20260719T120545' (1784455545573014023) started at 2026-07-19T12:05:45+02:00.
2026/07/19 12:07:25 Measurement 'Measurement20260719T120545' (1784455545573014023) started at 2026-07-19T12:05:45+02:00.
2026/07/19 12:08:58 Logging started
2026/07/19 12:08:58 SetupEnvironment finished.
2026/07/19 12:09:01 Autocreating new measurement!
2026/07/19 12:09:01 Measurement 'Measurement20260719T120901' (1784455741762839131) started at 2026-07-19T12:09:01+02:00.
2026/07/19 12:09:21 Measurement 'Measurement20260719T120901' (1784455741762839131) started at 2026-07-19T12:09:01+02:00.
2026/07/19 12:11:22 Logging started
2026/07/19 12:11:22 SetupEnvironment finished.
2026/07/19 12:11:26 Autocreating new measurement!
2026/07/19 12:11:26 Measurement 'Measurement20260719T121126' (1784455886056652329) started at 2026-07-19T12:11:26+02:00.
2026/07/19 12:13:46 Logging started
2026/07/19 12:13:46 SetupEnvironment finished.
2026/07/19 12:13:50 Autocreating new measurement!
2026/07/19 12:13:50 Measurement 'Measurement20260719T121350' (1784456030533358048) started at 2026-07-19T12:13:50+02:00.
2026/07/19 12:18:15 Logging started
2026/07/19 12:18:15 SetupEnvironment finished.
2026/07/19 12:18:18 Autocreating new measurement!
2026/07/19 12:18:18 Measurement 'Measurement20260719T121818' (1784456298697215911) started at 2026-07-19T12:18:18+02:00.
2026/07/19 12:19:23 Logging started
2026/07/19 12:19:23 SetupEnvironment finished.
2026/07/19 12:19:26 Autocreating new measurement!
2026/07/19 12:19:26 Measurement 'Measurement20260719T121926' (1784456366462018236) started at 2026-07-19T12:19:26+02:00.
2026/07/19 12:20:06 Logging started
2026/07/19 12:20:06 SetupEnvironment finished.
2026/07/19 12:20:11 Autocreating new measurement!
2026/07/19 12:20:11 Measurement 'Measurement20260719T122011' (1784456411809078283) started at 2026-07-19T12:20:11+02:00.
2026/07/19 12:20:36 Logging started
2026/07/19 12:20:36 SetupEnvironment finished.
2026/07/19 12:20:38 Autocreating new measurement!
2026/07/19 12:20:38 Measurement 'Measurement20260719T122038' (1784456438694781834) started at 2026-07-19T12:20:38+02:00.
2026/07/19 12:20:43 Measurement 'Measurement20260719T122038' (1784456438694781834) started at 2026-07-19T12:20:38+02:00.
2026/07/19 12:20:49 Measurement 'Measurement20260719T122038' (1784456438694781834) started at 2026-07-19T12:20:38+02:00.
2026/07/19 12:22:14 Logging started
2026/07/19 12:22:14 SetupEnvironment finished.
2026/07/19 12:22:17 Autocreating new measurement!
2026/07/19 12:22:17 Measurement 'Measurement20260719T122217' (1784456537883225550) started at 2026-07-19T12:22:17+02:00.
2026/07/19 12:31:06 Logging started
2026/07/19 12:31:06 SetupEnvironment finished.
2026/07/19 12:31:10 Autocreating new measurement!
2026/07/19 12:31:10 Measurement 'Measurement20260719T123110' (1784457070528741963) started at 2026-07-19T12:31:10+02:00.
2026/07/19 12:31:19 Measurement 'Measurement20260719T123110' (1784457070528741963) started at 2026-07-19T12:31:10+02:00.
2026/07/19 12:31:24 Measurement 'Measurement20260719T123110' (1784457070528741963) started at 2026-07-19T12:31:10+02:00.
2026/07/19 12:31:28 Measurement 'Measurement20260719T123110' (1784457070528741963) started at 2026-07-19T12:31:10+02:00.
2026/07/19 12:33:59 Logging started
2026/07/19 12:33:59 SetupEnvironment finished.
2026/07/19 12:34:01 Autocreating new measurement!
2026/07/19 12:34:01 Measurement 'Measurement20260719T123401' (1784457241696176484) started at 2026-07-19T12:34:01+02:00.
2026/07/19 12:34:18 Measurement 'Measurement20260719T123401' (1784457241696176484) started at 2026-07-19T12:34:01+02:00.
2026/07/19 12:34:24 Measurement 'Measurement20260719T123401' (1784457241696176484) started at 2026-07-19T12:34:01+02:00.
2026/07/19 12:43:18 Logging started
2026/07/19 12:43:18 SetupEnvironment finished.
2026/07/19 12:45:48 Logging started
2026/07/19 12:45:48 SetupEnvironment finished.
2026/07/19 12:46:27 Logging started
2026/07/19 12:46:27 SetupEnvironment finished.
2026/07/19 12:46:30 Autocreating new measurement!
2026/07/19 12:46:30 Measurement 'Measurement20260719T124630' (1784457990749406150) started at 2026-07-19T12:46:30+02:00.
2026/07/19 12:46:46 Measurement 'Measurement20260719T124630' (1784457990749406150) started at 2026-07-19T12:46:30+02:00.
2026/07/19 12:46:52 Measurement 'Measurement20260719T124630' (1784457990749406150) started at 2026-07-19T12:46:30+02:00.
2026/07/19 12:48:52 Logging started
2026/07/19 12:48:52 SetupEnvironment finished.
2026/07/19 12:48:55 Autocreating new measurement!
2026/07/19 12:48:55 Measurement 'Measurement20260719T124855' (1784458135433452578) started at 2026-07-19T12:48:55+02:00.
2026/07/19 12:48:59 Measurement 'Measurement20260719T124855' (1784458135433452578) started at 2026-07-19T12:48:55+02:00.
2026/07/19 12:49:03 Measurement 'Measurement20260719T124855' (1784458135433452578) started at 2026-07-19T12:48:55+02:00.
2026/07/19 12:51:35 Logging started
2026/07/19 12:51:35 SetupEnvironment finished.
2026/07/19 12:51:37 Autocreating new measurement!
2026/07/19 12:51:37 Measurement 'Measurement20260719T125137' (1784458297759126996) started at 2026-07-19T12:51:37+02:00.
2026/07/19 12:51:42 Measurement 'Measurement20260719T125137' (1784458297759126996) started at 2026-07-19T12:51:37+02:00.
2026/07/19 12:51:45 #1 database error:  #5 AddMeasurement: Exec failed:  sql: database is closed

2026/07/19 12:55:16 Logging started
2026/07/19 12:55:16 SetupEnvironment finished.
2026/07/19 12:55:19 Autocreating new measurement!
2026/07/19 12:55:19 Measurement 'Measurement20260719T125519' (1784458519164389443) started at 2026-07-19T12:55:19+02:00.
2026/07/19 12:55:23 Measurement 'Measurement20260719T125519' (1784458519164389443) started at 2026-07-19T12:55:19+02:00.
2026/07/19 12:55:28 Measurement 'Measurement20260719T125519' (1784458519164389443) started at 2026-07-19T12:55:19+02:00.
2026/07/19 12:55:37 Measurement 'Measurement20260719T125519' (1784458519164389443) started at 2026-07-19T12:55:19+02:00.
2026/07/19 12:55:55 Measurement 'Measurement20260719T125519' (1784458519164389443) started at 2026-07-19T12:55:19+02:00.
2026/07/19 12:55:58 Measurement 'Measurement20260719T125519' (1784458519164389443) started at 2026-07-19T12:55:19+02:00.
2026/07/19 12:57:12 Restart not possible due to:  #1 Getting mname Error2: ''
2026/07/19 12:57:12 Autocreating new measurement!
2026/07/19 12:57:12 Measurement 'Measurement20260719T125712' (1784458632482044692) started at 2026-07-19T12:57:12+02:00.
2026/07/19 12:57:26 Logging started
2026/07/19 12:57:26 SetupEnvironment finished.
2026/07/19 12:59:20 Logging started
2026/07/19 12:59:20 SetupEnvironment finished.
2026/07/19 13:00:55 Logging started
2026/07/19 13:00:55 SetupEnvironment finished.
2026/07/19 13:08:41 Logging started
2026/07/19 13:08:41 SetupEnvironment finished.
2026/07/19 13:08:46 Autocreating new measurement!
2026/07/19 13:08:46 Measurement 'Measurement20260719T130846' (1784459326536334060) started at 2026-07-19T13:08:46+02:00.
2026/07/19 13:08:59 Measurement 'Measurement20260719T130846' (1784459326536334060) started at 2026-07-19T13:08:46+02:00.
2026/07/19 13:09:30 Logging started
2026/07/19 13:09:30 SetupEnvironment finished.
2026/07/19 13:09:32 Autocreating new measurement!
2026/07/19 13:09:32 Measurement 'Measurement20260719T130932' (1784459372794612684) started at 2026-07-19T13:09:32+02:00.
2026/07/19 13:12:42 Logging started
2026/07/19 13:12:42 SetupEnvironment finished.
2026/07/19 13:12:45 Autocreating new measurement!
2026/07/19 13:12:45 Measurement 'Measurement20260719T131245' (1784459565261717321) started at 2026-07-19T13:12:45+02:00.
2026/07/19 13:13:21 Logging started
2026/07/19 13:13:21 SetupEnvironment finished.
2026/07/19 13:13:24 Autocreating new measurement!
2026/07/19 13:13:24 Measurement 'Measurement20260719T131324' (1784459604931290297) started at 2026-07-19T13:13:24+02:00.
2026/07/19 13:13:32 Measurement 'Measurement20260719T131324' (1784459604931290297) started at 2026-07-19T13:13:24+02:00.
2026/07/21 02:51:57 Logging started
2026/07/21 02:51:57 SetupEnvironment finished.
2026/07/21 02:52:16 Logging started
2026/07/21 02:52:16 SetupEnvironment finished.
2026/07/22 22:20:25 Logging started
2026/07/22 22:20:25 SetupEnvironment finished.
2026/07/22 22:28:52 Autocreating new measurement!
2026/07/22 22:28:52 Measurement 'Measurement20260722T222852' (1784752132832424146) started at 2026-07-22T22:28:52+02:00.
2026/07/22 22:31:33 No AeroTrak port set
2026/07/22 22:31:33 #1 GetAeroTrakdata Failed to open AeroTrak port no aerotrak port set
2026/07/22 22:31:35 #1 tcpdusttrak:tcpcommand DustTrak port set
2026/07/22 22:31:35 #1 connection closed!!!
2026/07/22 22:31:35 #1 connection closed!!!
2026/07/22 22:31:35 #1 connection closed!!!
2026/07/22 22:31:35 #1 connection closed!!!
2026/07/22 22:31:35 #1 connection closed!!!
2026/07/22 22:31:35 
2026/07/22 22:31:55 Searching for TSI network instruments DustTrak & AeroTrak
2026/07/22 22:31:55 Searching for TSI serial instrument PTrak
2026/07/22 22:31:58 Searching for TSI network instruments DustTrak & AeroTrak
2026/07/22 22:31:58 Searching for TSI serial instrument PTrak
2026/07/23 22:43:49 Logging started
2026/07/23 22:43:49 SetupEnvironment finished.
2026/07/23 22:48:33 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 22:48:33 SetupEnvironment finished.
2026/07/23 22:48:37 Autocreating new measurement!
2026/07/23 22:48:37 Measurement 'Measurement20260723T224837' (1784839717496995705) started at 2026-07-23T22:48:37+02:00.
2026/07/23 22:48:44 Measurement 'Measurement20260723T224837' (1784839717496995705) started at 2026-07-23T22:48:37+02:00.
2026/07/23 22:52:12 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 22:52:12 SetupEnvironment finished.
2026/07/23 22:52:26 Autocreating new measurement!
2026/07/23 22:52:26 Measurement 'Measurement20260723T225226' (1784839946340180473) started at 2026-07-23T22:52:26+02:00.
2026/07/23 22:52:54 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 22:52:54 SetupEnvironment finished.
2026/07/23 22:56:17 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 22:56:17 SetupEnvironment finished.
2026/07/23 22:58:39 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 22:58:39 SetupEnvironment finished.
2026/07/23 22:58:46 Autocreating new measurement!
2026/07/23 22:58:46 Measurement 'Measurement20260723T225846' (1784840326233846715) started at 2026-07-23T22:58:46+02:00.
2026/07/23 22:59:10 Measurement 'Measurement20260723T225846' (1784840326233846715) started at 2026-07-23T22:58:46+02:00.
2026/07/23 22:59:12 Measurement 'Measurement20260723T225846' (1784840326233846715) started at 2026-07-23T22:58:46+02:00.
2026/07/23 22:59:13 Measurement 'Measurement20260723T225846' (1784840326233846715) started at 2026-07-23T22:58:46+02:00.
2026/07/23 23:11:18 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:11:18 SetupEnvironment finished.
2026/07/23 23:18:36 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:18:36 SetupEnvironment finished.
2026/07/23 23:19:06 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:19:06 SetupEnvironment finished.
2026/07/23 23:19:22 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:19:22 SetupEnvironment finished.
2026/07/23 23:44:20 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:44:20 SetupEnvironment finished.
2026/07/23 23:44:28 Restart not possible due to:  no nanostamp
2026/07/23 23:44:28 Autocreating new measurement!
2026/07/23 23:44:28 Measurement 'Measurement20260723T234428' (1784843068455672514) started at 2026-07-23T23:44:28+02:00.
2026/07/23 23:45:09 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:45:09 SetupEnvironment finished.
2026/07/23 23:45:19 Restart not possible due to:  no nanostamp
2026/07/23 23:45:19 Autocreating new measurement!
2026/07/23 23:45:19 Measurement 'Measurement20260723T234519' (1784843119372206470) started at 2026-07-23T23:45:19+02:00.
2026/07/23 23:49:27 Logging started: /home/prifre/dev/go/src/vas2/resources/vas2.log
2026/07/23 23:49:27 SetupEnvironment finished.
2026/07/23 23:49:29 Restart not possible due to:  no nanostamp
2026/07/23 23:49:29 Autocreating new measurement!
